iter	Passed	Remaining
988	698741	7771
989	699426	7064
990	700114	6358
991	700804	5651
992	701496	4945
993	702189	4238
994	702881	3532
995	703572	2825
996	704263	2119
997	704954	1412
998	705641	706
999	706326	0
